,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
태경비케이,2021-08-09,6940,170,6820,7170,6650,3811290,2.511078286558346,비금속광물,KOSPI,2 ~ 4%
버킷스튜디오,2021-08-09,2600,-45,2630,2680,2545,3717567,-1.7013232514177694,코스닥 IT,KOSDAQ,0 ~ -2%
인성정보,2021-08-09,2930,10,3040,3075,2930,3690644,0.3424657534246575,코스닥 IT,KOSDAQ,0 ~ 2%
한일단조,2021-08-09,3860,-190,4180,4255,3835,3674332,-4.691358024691358,제조업,KOSDAQ,-4 ~ -6%
인디에프,2021-08-09,1710,-145,1820,1860,1710,3652074,-7.816711590296496,섬유의복,KOSPI,-6 ~ -8%
SBI인베스트먼트,2021-08-09,1995,0,2000,2060,1975,3630306,0.0,금융,KOSDAQ,0 ~ -2%
디젠스,2021-08-09,1220,15,1205,1315,1205,3514439,1.2448132780082988,제조업,KOSDAQ,0 ~ 2%
칩스앤미디어,2021-08-09,17000,1200,15900,18200,15650,3507383,7.59493670886076,코스닥 IT,KOSDAQ,6 ~ 8%
연이비앤티,2021-08-09,2270,-570,2705,2705,2270,3417518,-20.070422535211268,코스닥 IT,KOSDAQ,-8% 이하
시그네틱스,2021-08-09,1985,85,1915,2000,1890,3356335,4.473684210526316,코스닥 IT,KOSDAQ,4 ~ 6%
에스넷,2021-08-09,10300,310,9860,10300,9720,3336421,3.1031031031031033,코스닥 IT,KOSDAQ,2 ~ 4%
예스24,2021-08-09,13800,-1000,14500,14950,13800,3312799,-6.756756756756757,코스닥 IT,KOSDAQ,-6 ~ -8%
남해화학,2021-08-09,12350,550,11750,12750,11600,3295812,4.661016949152542,화학,KOSPI,4 ~ 6%
팬스타엔터프라이즈,2021-08-09,1125,20,1095,1145,1090,3209193,1.809954751131222,제조업,KOSDAQ,0 ~ 2%
해성옵틱스,2021-08-09,869,-8,878,884,858,3189141,-0.9122006841505131,코스닥 IT,KOSDAQ,0 ~ -2%
체시스,2021-08-09,1690,-20,1795,1835,1690,3178833,-1.1695906432748537,운수장비,KOSPI,0 ~ -2%
한솔홈데코,2021-08-09,2175,-15,2180,2210,2155,3166319,-0.684931506849315,종이목재,KOSPI,0 ~ -2%
한국비엔씨,2021-08-09,20300,-2550,22100,23100,20300,3098922,-11.159737417943107,제조업,KOSDAQ,-8% 이하
서희건설,2021-08-09,2170,-90,2255,2280,2170,3088724,-3.982300884955752,건설,KOSDAQ,-2 ~ -4%
아이에이,2021-08-09,1210,-25,1235,1240,1210,3020635,-2.0242914979757085,코스닥 IT,KOSDAQ,-2 ~ -4%
와이제이엠게임즈,2021-08-09,2675,45,2670,2800,2615,3004082,1.7110266159695817,코스닥 IT,KOSDAQ,0 ~ 2%
카카오,2021-08-09,148000,2500,145500,149000,144000,3000437,1.718213058419244,서비스업,KOSPI,0 ~ 2%
우리종금,2021-08-09,998,1,998,1005,991,2978837,0.10030090270812438,금융업,KOSPI,0 ~ 2%
보락,2021-08-09,2555,-65,2605,2620,2540,2951077,-2.480916030534351,화학,KOSPI,-2 ~ -4%
초록뱀미디어,2021-08-09,2555,-5,2560,2595,2550,2890876,-0.1953125,오락·문화,KOSDAQ,0 ~ -2%
